accel_x,accel_y,accel_z
8.218300721088306486e-07,-1.034544405379148718e-06,-9.794841952492625126e+00
-8.667187640679666706e-06,-5.490707077478673090e-07,-9.794844058087999628e+00
1.909166277086508570e-06,9.269569660615332800e-06,-9.794842843905485097e+00
3.910673623550886325e-07,-5.211778238012464785e-06,-9.794837189465992466e+00
2.448166259470502893e-06,-7.297482763758345480e-06,-9.794836103540427885e+00
3.454366299045878007e-06,-8.811083859531218631e-07,-9.794852359054802449e+00
-1.466969166533357011e-06,1.031652633991039119e-05,-9.794830115272528559e+00
8.518398191639085876e-06,3.944686172429034819e-06,-9.794836952646765127e+00
-5.996694070502093595e-06,8.216064671246902748e-06,-9.794838556937399687e+00
4.058725173775125291e-06,7.361397045236888773e-08,-9.794836014312995331e+00
3.712989963715917305e-06,4.032725012217828967e-06,-9.794842817144399305e+00
-3.106202234068755635e-06,3.776652253647215016e-06,-9.794845772007496620e+00
-3.490481065978870771e-06,-1.636748674790542516e-06,-9.794835800508534973e+00
9.964720639741961981e-07,5.168109482692227512e-06,-9.794851812841848471e+00
3.091460417103724955e-06,2.271299267481205510e-06,-9.794846952528386552e+00
-8.444543528360587144e-07,3.581854951826882585e-06,-9.794847456288726661e+00
2.000941522744156863e-07,6.155377648069017717e-06,-9.794836609462649335e+00
4.605234796445566420e-06,1.219344440074553058e-06,-9.794848118664781111e+00
-2.484601998328126318e-06,2.350788971452247323e-06,-9.794845341089658319e+00
-3.608504143122434529e-06,8.004113332438633286e-06,-9.794842040025685037e+00
-1.830199845171848622e-06,-2.605844085730431068e-06,-9.794839631204855124e+00
-1.987979036532399636e-06,1.883331966158786439e-06,-9.794839703199452075e+00
-3.582429971157560177e-06,1.091595556989771796e-06,-9.794835195279430806e+00
5.010102130970716275e-06,-8.162251118636126086e-07,-9.794841192737539615e+00
-4.060734973853505609e-06,5.975338753144545814e-06,-9.794838324365814586e+00
-1.280573510937098714e-07,1.883084717226850415e-06,-9.794845465616999647e+00
-2.294158201858957778e-06,-4.856409885636215725e-06,-9.794844363092730433e+00
4.414459072156704927e-06,-2.278724379840116409e-06,-9.794841317993283170e+00
1.354904200000039312e-06,-5.165546599012610713e-06,-9.794844205665121706e+00
3.197634096753589234e-06,2.615352782432973606e-06,-9.794842587592651029e+00
-3.094579969366807254e-06,-3.039780592833571479e-06,-9.794841697473964715e+00
5.611141182718184880e-06,-2.808239516417465532e-06,-9.794840166697198924e+00
5.749199355837187711e-07,3.332459118174757721e-06,-9.794838678280193278e+00
4.975932587619936555e-08,2.886175918035214431e-08,-9.794836935329069405e+00
1.121400716816174970e-05,-3.463138846223506183e-06,-9.794837682726109662e+00
3.545567396773251594e-06,-1.164045276440562284e-06,-9.794842366222741958e+00
2.456116684778319558e-06,2.818005735324067718e-06,-9.794837690935420227e+00
2.153488626870803062e-06,-9.830629027717898011e-07,-9.794849353317403029e+00
5.625840025932987542e-06,-7.981837554466183248e-06,-9.794839151006160094e+00
-3.538056630728424051e-07,-5.580453880181763706e-06,-9.794834104067016156e+00
6.279311482564120872e-07,-1.855301994651557520e-06,-9.794845115405994562e+00
-4.298016512193358930e-06,1.777643899666121781e-06,-9.794837289101176125e+00
4.435415137871862113e-06,1.884351218272845810e-06,-9.794840937702542050e+00
3.694715022642496547e-06,9.407378666067901371e-07,-9.794844818705735534e+00
4.339716107043429303e-06,7.476875552713902005e-06,-9.794835536708628609e+00
-3.240085439744226781e-06,3.099153165653362412e-06,-9.794840887768204496e+00
-4.374320819382114367e-06,7.943888397642150738e-07,-9.794835407689246765e+00
-6.095577495000484422e-06,-2.032196287624752844e-06,-9.794841283488068484e+00
5.573680527879940049e-07,1.224379801535551803e-06,-9.794840116988924095e+00
-1.215278113961238556e-06,8.414830511128853960e-07,-9.794844640941169800e+00
-2.398049055063717229e-07,3.865931730438694693e-06,-9.794837075947613769e+00
2.799355365716413706e-06,1.129312431488702881e-06,-9.794843904929056322e+00
1.071859020176403356e-06,6.317938443372069290e-06,-9.794839665392277794e+00
-1.351226037455771681e-06,2.121129419705624184e-06,-9.794839411829103781e+00
4.237419532403886900e-06,-1.692067695725520234e-06,-9.794841068588704402e+00
6.130513056902738846e-06,-6.679527248311464934e-06,-9.794841517662852937e+00
5.551248400176439207e-06,1.352217565341166477e-06,-9.794844485994630645e+00
4.407474301418687960e-06,-3.998675212224202645e-06,-9.794841104556160971e+00
-8.224221101673701165e-07,-2.995478290731296242e-06,-9.794843563554673338e+00
3.957574963383557633e-06,7.341095432207328523e-06,-9.794851119776772919e+00
-1.112601706412704090e-06,6.952984614586739143e-07,-9.794842034939717834e+00
5.970290472709758121e-06,4.990536206490192532e-06,-9.794851064157210629e+00
-3.841131294812136640e-06,3.446934204559013124e-07,-9.794833790072889457e+00
-5.496326440741430372e-06,8.502694061737907978e-08,-9.794844265147073514e+00
-2.448300774929073145e-06,-6.826107397909662779e-06,-9.794840780857560603e+00
-2.171252207389360534e-06,-2.821873365282345601e-06,-9.794838765543808279e+00
3.707903854836879041e-06,-1.174294651236604359e-06,-9.794844953734164861e+00
4.382438861494289468e-06,3.277099945381096688e-06,-9.794839268725821668e+00
-1.910606271736401292e-07,-5.820991749107165204e-06,-9.794841224212284203e+00
-2.380870935028402352e-06,6.833793399824602660e-06,-9.794845348249211270e+00
-6.956343823976449672e-07,-6.137061459768525834e-06,-9.794839020990957934e+00
1.661582635717372224e-06,2.818528358669305476e-06,-9.794840160813597763e+00
-2.229516362900630499e-06,-5.070388812702831783e-06,-9.794841019424813666e+00
6.622108229753665542e-07,3.423932390657842549e-06,-9.794840303210733623e+00
6.718168491557015275e-06,-9.461921709595775729e-06,-9.794842235037489075e+00
4.174135847855083675e-06,-3.184582595882755333e-06,-9.794842572142066217e+00
2.000782820714943571e-06,3.946046569473570664e-07,-9.794843096684854089e+00
-1.043548085252672730e-05,-1.773429408434456528e-06,-9.794841003494143550e+00
8.245771268670863924e-08,2.893188291893523280e-06,-9.794845222981368948e+00
-6.025561524723808435e-06,-7.333894919057430619e-07,-9.794842890851553463e+00
2.951514069676292420e-06,1.885806673681624960e-07,-9.794838286604290900e+00
-3.790631884853667976e-06,9.630086841009761570e-06,-9.794839237871853399e+00
1.104158594766277981e-06,1.197682878077074042e-07,-9.794846914526953441e+00
4.353792645672511163e-06,-5.567850625488923956e-06,-9.794846415431660347e+00
-2.549932521048384272e-06,4.403286398229235750e-06,-9.794846683415434185e+00
1.466034667281723682e-06,2.392503415428064792e-06,-9.794843691852083367e+00
1.469707682338366586e-06,1.069594250335051671e-05,-9.794842221139679950e+00
8.045410087265119977e-07,-5.124603640078772898e-06,-9.794835659832045849e+00
-1.318038510581125651e-06,-9.228304801436978753e-07,-9.794843498123929848e+00
-1.052541595256025968e-06,3.788888244819872807e-06,-9.794840034329940437e+00
-4.294285040495797668e-06,-2.029082270272261837e-06,-9.794839116483320396e+00
-3.420603322777845494e-06,-1.597840966403655592e-06,-9.794844688062882554e+00
1.922636051472169660e-06,4.927081354180587140e-06,-9.794843574962255772e+00
6.948577523899702881e-06,-1.350799224519891660e-06,-9.794843696432023350e+00
-7.790249889549849526e-07,-4.661660530641955635e-06,-9.794837045362575267e+00
5.319453872814506903e-06,6.145868086450246670e-06,-9.794844625793011517e+00
-7.807366273648835645e-07,4.180487873351099804e-06,-9.794842583278542847e+00
-4.662595443500980742e-06,-3.559330274945181491e-06,-9.794850186870284858e+00
-4.783702652772730713e-06,6.024564354114753444e-06,-9.794845762295826930e+00
-3.148631173493424768e-06,-5.948908855272507816e-06,-9.794844014573675040e+00
-2.203165196285696052e-06,7.915593178522256477e-06,-9.794841205400761197e+00
3.220016789264672706e-06,2.478434754663845058e-06,-9.794846253792400148e+00
-2.469631554969089910e-06,-6.438460224764618317e-06,-9.794843607063485891e+00
-4.871457921863060507e-06,-4.102293612876966882e-06,-9.794848341157837979e+00
-3.466986780775735554e-06,2.083996588825138612e-06,-9.794844857396670434e+00
7.651035139217775964e-07,2.940576610835409878e-06,-9.794843184963619720e+00
-3.238784303183281982e-08,-4.957063690420021342e-06,-9.794851775304861619e+00
-6.771246864649874409e-06,-7.093644001741875811e-08,-9.794840996282021095e+00
-4.819593333314714926e-07,3.245315628519918585e-07,-9.794847154990760529e+00
4.826347511495285297e-07,8.301971953672529439e-07,-9.794850141022589440e+00
4.431904380275436566e-06,3.085251530638845444e-06,-9.794842435002722780e+00
-2.226087303051789243e-06,1.856006829660160320e-06,-9.794838218030918142e+00
-6.601829588093637604e-07,6.536479640251045168e-06,-9.794837812920324183e+00
2.086276241572129186e-06,-2.001319769424886906e-07,-9.794843298128373732e+00
5.981917571754580740e-06,-8.115209995900086619e-06,-9.794839117285743413e+00
-3.751621385698174710e-06,1.975358901435668496e-06,-9.794841471152812673e+00
-7.918061509535328712e-06,3.820209319617336986e-06,-9.794841164899631636e+00
-8.855327920579058196e-06,-2.071622628547503801e-07,-9.794841413334191671e+00
-6.161454330062808694e-06,-2.195092854933620123e-06,-9.794844591364514130e+00
-5.937400148169641439e-06,-6.288655038418134623e-06,-9.794838658581987545e+00
-9.434978888717325893e-06,1.646723835749513881e-05,-9.794840868873285089e+00
-3.098633081781716020e-06,1.526330492663330316e-06,-9.794842627945239855e+00
-2.935488550763427689e-06,-4.840912697600362869e-06,-9.794839182317945259e+00
-7.550107395999382591e-08,-3.999464103297650245e-06,-9.794838290689858340e+00
-2.732410552996920547e-06,1.552808680724793886e-07,-9.794840446909930165e+00
-3.690728472470717415e-08,6.691665788524098896e-07,-9.794846291377957925e+00
-3.658605524641113870e-06,-4.049121386400298647e-06,-9.794834856927238320e+00
1.117717838473675079e-05,8.794590999018686185e-08,-9.794839522758680417e+00
3.844695295945773473e-06,7.049160363350907637e-06,-9.794836123416544638e+00
1.712873629130564087e-06,2.082571036183171873e-06,-9.794833282607871894e+00
-5.443496354704301717e-06,1.079641339050702477e-06,-9.794841765252419563e+00
7.422633459557654962e-07,4.666002180869543436e-06,-9.794848065354608835e+00
-6.314505800896733591e-06,-1.056513600318464018e-06,-9.794843342734203873e+00
-9.963239224170222013e-06,9.976441323997698905e-06,-9.794844796167177847e+00
3.324620558335245198e-06,1.018089596936770155e-06,-9.794842075456386965e+00
-6.097936569390445426e-06,4.430207419236975755e-07,-9.794848514477834556e+00
6.555300080064266740e-07,6.379537413455261099e-07,-9.794838064531660393e+00
4.504207321168261176e-06,1.256189316398450580e-06,-9.794842630790423499e+00
-4.439723949868518340e-06,4.943069211397008115e-06,-9.794840909550980967e+00
2.794762141955054322e-06,4.238787028685996664e-06,-9.794845585976686309e+00
3.595499033882957217e-06,-1.345677948997188739e-06,-9.794846683933990050e+00
3.445963437270967906e-06,2.163767737338651504e-06,-9.794843718586406567e+00
-2.801613989234501729e-06,-5.957733881404591344e-06,-9.794847663412006966e+00
7.132079946625559420e-07,3.901493339013949276e-06,-9.794848335195663225e+00
-6.246905071875611560e-06,3.760674115602345950e-06,-9.794836009967072599e+00
-7.380373146733469429e-07,-3.935929412902010731e-06,-9.794851848876383826e+00
2.705009266506259189e-06,7.726024102593124436e-06,-9.794843340964028755e+00
