pos_x,pos_y,pos_z
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707029109655523207e+06,4.688711955764515325e+06,3.360431434222325683e+06
-2.707029109365523327e+06,4.688711956054515205e+06,3.360431434512325563e+06
-2.707029108804523014e+06,4.688711956615514122e+06,3.360431435073324945e+06
-2.707029107899623923e+06,4.688711957520413212e+06,3.360431435978224501e+06
-2.707029106585214846e+06,4.688711958834823221e+06,3.360431437292633113e+06
-2.707029104802246671e+06,4.688711960617791861e+06,3.360431439075600822e+06
-2.707029102497576270e+06,4.688711962922464125e+06,3.360431441380271688e+06
-2.707029099623373710e+06,4.688711965796668082e+06,3.360431444254475180e+06
-2.707029096136591863e+06,4.688711969283451326e+06,3.360431447741257492e+06
-2.707029091998488177e+06,4.688711973421555944e+06,3.360431451879360247e+06
-2.707029087174195331e+06,4.688711978245850652e+06,3.360431456703652162e+06
-2.707029081632331479e+06,4.688711983787716366e+06,3.360431462245513685e+06
-2.707029075344654266e+06,4.688711990075396374e+06,3.360431468533188570e+06
-2.707029068285744172e+06,4.688711997134308331e+06,3.360431475592095405e+06
-2.707029060432724189e+06,4.688712004987328313e+06,3.360431483445111196e+06
-2.707029051765007433e+06,4.688712013655045070e+06,3.360431492112824228e+06
-2.707029042264061980e+06,4.688712023155990057e+06,3.360431501613765024e+06
-2.707029031913211104e+06,4.688712033506839536e+06,3.360431511964609846e+06
-2.707029020697444677e+06,4.688712044722604565e+06,3.360431523180369288e+06
-2.707029008603254799e+06,4.688712056816792116e+06,3.360431535274550319e+06
-2.707028995618483983e+06,4.688712069801560603e+06,3.360431548259311821e+06
-2.707028981732190121e+06,4.688712083687852137e+06,3.360431562145594507e+06
-2.707028966934525874e+06,4.688712098485513590e+06,3.360431576943246648e+06
-2.707028951216628309e+06,4.688712114203409292e+06,3.360431592661132105e+06
-2.707028934570520651e+06,4.688712130849515088e+06,3.360431609307226259e+06
-2.707028916989023797e+06,4.688712148431008682e+06,3.360431626888708677e+06
-2.707028898465677164e+06,4.688712166954353452e+06,3.360431645412040874e+06
-2.707028878994665574e+06,4.688712186425361782e+06,3.360431664883036632e+06
-2.707028858570755459e+06,4.688712206849268638e+06,3.360431685306929983e+06
-2.707028837189236190e+06,4.688712228230784647e+06,3.360431706688431092e+06
-2.707028814845867921e+06,4.688712250574149191e+06,3.360431729031778872e+06
-2.707028791536835954e+06,4.688712273883176968e+06,3.360431752340788487e+06
-2.707028767258707434e+06,4.688712298161300831e+06,3.360431776618894655e+06
-2.707028742008391302e+06,4.688712323411610909e+06,3.360431801869186573e+06
-2.707028715783106629e+06,4.688712349636889063e+06,3.360431828094446100e+06
-2.707028688580350485e+06,4.688712376839638688e+06,3.360431855297177099e+06
-2.707028660397869535e+06,4.688712405022113584e+06,3.360431883479631040e+06
-2.707028631233635824e+06,4.688712434186340310e+06,3.360431912643835414e+06
-2.707028601085824892e+06,4.688712464334143326e+06,3.360431942791615613e+06
-2.707028569952794816e+06,4.688712495467165485e+06,3.360431973924613092e+06
-2.707028537833067123e+06,4.688712527586884797e+06,3.360432006044306792e+06
-2.707028504725311883e+06,4.688712560694632120e+06,3.360432039152027108e+06
-2.707028470628331415e+06,4.688712594791604206e+06,3.360432073248970322e+06
-2.707028435541049577e+06,4.688712629878878593e+06,3.360432108336214907e+06
-2.707028399462495930e+06,4.688712665957424790e+06,3.360432144414730370e+06
-2.707028362391797360e+06,4.688712703028115444e+06,3.360432181485389359e+06
-2.707028324328168295e+06,4.688712741091735661e+06,3.360432219548977446e+06
-2.707028285270901397e+06,4.688712780148993246e+06,3.360432258606201038e+06
-2.707028245219361037e+06,4.688712820200524293e+06,3.360432298657697160e+06
-2.707028204172974452e+06,4.688712861246900633e+06,3.360432339704037644e+06
-2.707028162131226622e+06,4.688712903288639151e+06,3.360432381745738909e+06
-2.707028119093652815e+06,4.688712946326202713e+06,3.360432424783264752e+06
-2.707028075059836265e+06,4.688712990360009484e+06,3.360432468817032408e+06
-2.707028030029400252e+06,4.688713035390434787e+06,3.360432513847417664e+06
-2.707027984002007172e+06,4.688713081417816691e+06,3.360432559874758590e+06
-2.707027936977352016e+06,4.688713128442459740e+06,3.360432606899359263e+06
-2.707027888955161441e+06,4.688713176464637741e+06,3.360432654921494424e+06
-2.707027839935189113e+06,4.688713225484596565e+06,3.360432703941409010e+06
-2.707027789917212445e+06,4.688713275502558798e+06,3.360432753959326074e+06
-2.707027738901033066e+06,4.688713326518724672e+06,3.360432804975445382e+06
-2.707027686886470299e+06,4.688713378533273004e+06,3.360432856989947148e+06
-2.707027633873363491e+06,4.688713431546364911e+06,3.360432910002992023e+06
-2.707027579861566890e+06,4.688713485558146611e+06,3.360432964014725294e+06
-2.707027524850949179e+06,4.688713540568748489e+06,3.360433019025277812e+06
-2.707027468841392547e+06,4.688713596578289755e+06,3.360433075034767855e+06
-2.707027411832790822e+06,4.688713653586875647e+06,3.360433132043301128e+06
-2.707027353825048078e+06,4.688713711594602093e+06,3.360433190050973557e+06
