gps_x,gps_y,gps_z,gps_vx,gps_vy,gps_vz
-2.707022356467931997e+06,4.688711382211155258e+06,3.360432867478016764e+06,-9.272965072986910640e-02,9.863444298674554911e-02,3.339480638166753088e-03
-2.707032716270519886e+06,4.688707889704089612e+06,3.360423924245068338e+06,5.043548619339702777e-01,3.642773321614175552e-01,3.979622318087258637e-01
-2.707028621019605082e+06,4.688713742891718633e+06,3.360438458908699919e+06,1.199709138952870235e+00,1.145395868084099655e+00,1.134520049011991105e+00
-2.707033514051110949e+06,4.688705689105884172e+06,3.360430037536012474e+06,2.154327992423678673e+00,2.123732037176423226e+00,2.074913183216157808e+00
-2.707023251775122248e+06,4.688710249203073792e+06,3.360432372546148486e+06,3.127445840234872154e+00,3.019817528751512992e+00,3.065962705043256964e+00
-2.707031091052205767e+06,4.688714203298954293e+06,3.360430931302660145e+06,4.152684232142564547e+00,4.130940058497677647e+00,4.050196026127273363e+00
-2.707019618230767082e+06,4.688718622705510817e+06,3.360430339500091039e+06,5.065210414153223262e+00,5.159742238767866418e+00,5.074841972472046159e+00
-2.707024807110946160e+06,4.688703744766834192e+06,3.360441195059410762e+06,6.116266338542682313e+00,6.092762988978812189e+00,6.149845245687804329e+00
-2.707028324785405770e+06,4.688716333749042824e+06,3.360434933030080516e+06,7.100468573959899388e+00,7.125970672933958916e+00,7.141676989057194724e+00
-2.707024183731170837e+06,4.688714981757903472e+06,3.360422934465064667e+06,8.002007668225676440e+00,8.158264152939569414e+00,8.278605092611378780e+00
-2.707025965575589333e+06,4.688717893663760275e+06,3.360432187517738435e+06,9.074234507925446280e+00,9.061068269754287030e+00,9.080853116650732915e+00
-2.707019499262954108e+06,4.688724132494580932e+06,3.360440794432919472e+06,1.019218569005754915e+01,1.005455111435186666e+01,1.008852509379678075e+01
-2.707021122927000280e+06,4.688718046653991565e+06,3.360440907738021575e+06,1.101785137387587632e+01,1.111549598410828565e+01,1.113750569895915987e+01
-2.707018300548996776e+06,4.688714825901135802e+06,3.360449677215570118e+06,1.210082652730198660e+01,1.210133727765438572e+01,1.212896671371119872e+01
-2.707014021069400478e+06,4.688720224928927608e+06,3.360436970115831122e+06,1.309330158002598132e+01,1.309478099093043113e+01,1.314396337728393149e+01
-2.707022586106260773e+06,4.688726364579185843e+06,3.360448338989282027e+06,1.410456585681456865e+01,1.416695446260939661e+01,1.410185368886813784e+01
-2.707030534368781373e+06,4.688723248155731708e+06,3.360442427081452683e+06,1.507907613070708308e+01,1.512111747267551642e+01,1.506158909755917996e+01
-2.707018815300661605e+06,4.688718713442288339e+06,3.360443419846822042e+06,1.605875225551573848e+01,1.601973381947705022e+01,1.620487082003148771e+01
-2.707020347170281690e+06,4.688720470736439340e+06,3.360440045125338249e+06,1.712340484846482269e+01,1.723426478331862555e+01,1.710491705307151022e+01
-2.707017750868755393e+06,4.688720850711124018e+06,3.360436809280161280e+06,1.810932102316386505e+01,1.813670785290400644e+01,1.803044309772445786e+01
-2.707010248843146954e+06,4.688727085850789212e+06,3.360445008280009497e+06,1.908451332905835685e+01,1.904585405849459434e+01,1.913621785778044782e+01
-2.707007820935483556e+06,4.688732301033792086e+06,3.360435339163228404e+06,2.012503260981933906e+01,2.008024756436816460e+01,2.007359708941519827e+01
-2.707004345277724788e+06,4.688736221368694678e+06,3.360456079782566987e+06,2.109351770567975137e+01,2.104231990083989245e+01,2.107875909608116416e+01
-2.707000052871800028e+06,4.688742254069990478e+06,3.360459397409819067e+06,2.215078925609170923e+01,2.212933730338964367e+01,2.214359828433426358e+01
-2.706996091790831182e+06,4.688743884850043803e+06,3.360448264168067835e+06,2.307804594497618922e+01,2.312817072250834727e+01,2.305209193252729705e+01
-2.707001480752484873e+06,4.688745053007633425e+06,3.360459428493036423e+06,2.403947281393330826e+01,2.402764509068882148e+01,2.417709208930583387e+01
-2.706991542343564797e+06,4.688743874003382400e+06,3.360454218851728365e+06,2.512796184389303988e+01,2.512574498205628259e+01,2.509163839553254149e+01
-2.706987886418774258e+06,4.688739118443934247e+06,3.360462616172332782e+06,2.611551605766917916e+01,2.608654891961721489e+01,2.615300774238782111e+01
-2.706996532447192352e+06,4.688758728203922510e+06,3.360473500209522899e+06,2.713325071159565027e+01,2.711191327080479851e+01,2.704402146803973039e+01
-2.706988026890072040e+06,4.688755403262210079e+06,3.360472789947661571e+06,2.808922031568106803e+01,2.813295467171485953e+01,2.806607148885043301e+01
-2.706981087689093780e+06,4.688751353194129653e+06,3.360478677437534556e+06,2.907334789364010064e+01,2.915019080426739606e+01,2.918354846316128004e+01
-2.706982878647554200e+06,4.688758409458776005e+06,3.360468816433509812e+06,3.008903400351047353e+01,3.015833733621821011e+01,3.010002241311392979e+01
-2.706978194947923999e+06,4.688761947548942640e+06,3.360470004940472078e+06,3.111829182398556171e+01,3.106629847578597747e+01,3.110726986424779739e+01
-2.706975701079550665e+06,4.688763089813267812e+06,3.360478447208785452e+06,3.204910895525443237e+01,3.201177700951514282e+01,3.213024119724563832e+01
-2.706966257688775193e+06,4.688776400475919247e+06,3.360480031307286583e+06,3.310501847280504251e+01,3.311133294518491965e+01,3.313039981466210548e+01
-2.706972425060242880e+06,4.688768031502739526e+06,3.360489515686217230e+06,3.404755017888015800e+01,3.403781939091972930e+01,3.411567557422883112e+01
-2.706964390915051103e+06,4.688768467078310438e+06,3.360494583979739808e+06,3.499865931330635505e+01,3.505413944622939226e+01,3.508404699176761454e+01
-2.706955336627757177e+06,4.688775846471264027e+06,3.360500383713116869e+06,3.619034194498006229e+01,3.605925192616385289e+01,3.609231440680412106e+01
-2.706966652277054265e+06,4.688779086625565775e+06,3.360500423424479086e+06,3.707938485197902878e+01,3.707294977812859571e+01,3.719146851759615657e+01
-2.706958169016214553e+06,4.688783423286704347e+06,3.360494383608200587e+06,3.799814811383129154e+01,3.809491330557769118e+01,3.807036851809982636e+01
-2.706958277997570112e+06,4.688791180979434401e+06,3.360511790914714336e+06,3.916029054207876925e+01,3.900865572334781461e+01,3.913336784395063006e+01
-2.706954387678618543e+06,4.688783912288066931e+06,3.360507241842549294e+06,4.010603418503272621e+01,4.012475448868046612e+01,4.009553348165091080e+01
-2.706941772308848798e+06,4.688788707451624796e+06,3.360503992193136364e+06,4.099345484541348839e+01,4.117305106302344342e+01,4.100508816168398596e+01
-2.706937128220013808e+06,4.688793516291119158e+06,3.360511171827270649e+06,4.210018889256438968e+01,4.215578584230397041e+01,4.209363476944547955e+01
-2.706942038069941569e+06,4.688811105258909054e+06,3.360536363271950278e+06,4.299016246270403485e+01,4.307479289821728941e+01,4.311509432945172193e+01
-2.706937953214270528e+06,4.688810490680987947e+06,3.360528872220142279e+06,4.410148539089431807e+01,4.413324490026836600e+01,4.414876665332257488e+01
-2.706925124258889351e+06,4.688813524546439759e+06,3.360541962130514905e+06,4.509768016907441535e+01,4.509498372765340690e+01,4.508326728240165693e+01
-2.706927764785736334e+06,4.688815822239968926e+06,3.360546180016898084e+06,4.612778844512781262e+01,4.625316467869625825e+01,4.609765491237434532e+01
-2.706923804393046070e+06,4.688827424630554393e+06,3.360542864056120161e+06,4.713982237522883167e+01,4.710028975159639941e+01,4.707194431804969526e+01
-2.706922106829694472e+06,4.688821489449325018e+06,3.360541951950484421e+06,4.814762522565303016e+01,4.812696030519808943e+01,4.805975891872576256e+01
-2.706909510414032266e+06,4.688836040472423658e+06,3.360549341026223265e+06,4.905736742778923087e+01,4.910422131134696855e+01,4.913179946160769873e+01
-2.706900926602679305e+06,4.688838433205340989e+06,3.360549681167287286e+06,5.020993649730248620e+01,5.008102256773633343e+01,5.020038127198801448e+01
-2.706894056594769470e+06,4.688839973928503692e+06,3.360570403784717899e+06,5.112478637195922460e+01,5.104116920575686578e+01,5.109934553858486339e+01
