gyro_x,gyro_y,gyro_z
-3.026913371954033870e-04,1.923607704813401411e-04,-4.130383324177873731e-04
-5.778044359063439113e-05,7.258694884899198456e-05,-6.664161124028591260e-06
7.156209512424802207e-04,-8.965903078842308389e-05,-5.881242187402981004e-04
-5.544561027029113257e-04,3.295999972684972475e-04,1.347854403080384067e-04
-7.730031411395534664e-04,6.824909121945437569e-04,4.200982060594765448e-04
1.427012219565089157e-05,3.024729807007503447e-04,4.831538929390022537e-04
-7.296566966020724069e-05,4.185701434722555593e-04,1.855945012738963258e-05
8.119290824160603297e-05,-2.021835623782331667e-05,1.521234425644815561e-04
-2.362132317767108981e-04,-2.211812147764793794e-04,-3.834817574797708259e-04
3.929331435059108630e-04,1.782410666999827121e-04,1.832581709002664315e-04
-1.883098408511230256e-04,-1.973880889545824168e-04,-4.315288622699233563e-04
-5.984579032019627038e-05,2.445869462664691319e-04,-7.458237516906718431e-05
2.408572660101714925e-04,9.278651095255201035e-04,1.579610618261224832e-04
2.212322288513678137e-04,9.171049432647175213e-05,3.782639998843933204e-04
-2.221861105201084968e-05,3.667779877993532613e-04,-8.450048299978060013e-05
-3.746311170338121103e-04,-5.283128184575518606e-05,-4.464362398465182764e-04
-3.077999832295231749e-04,1.405241210941545046e-04,2.376129761657797478e-04
-1.847653618648382621e-04,2.208045274908093149e-04,3.337419727889779806e-04
-2.422206471482721941e-04,3.863299905371007817e-04,-1.336407949843342773e-04
-2.295627591742329407e-04,3.587267481362057305e-04,2.641242951873847022e-04
-2.265283718541878601e-04,7.432212977104651853e-04,1.524011994050451628e-04
-1.850292912566474553e-04,7.502486109438009107e-05,-3.743934174740588404e-04
1.693455531529280023e-04,-2.521059549472292835e-04,-3.011750358425275566e-04
5.586890439835811174e-04,-4.355867162028450906e-04,-3.999147580394058973e-04
6.315441475262094525e-05,-2.949962949692497153e-04,2.293136042609612325e-04
-3.533527701049582383e-04,5.494972713214519872e-04,-5.168476044623502566e-04
-6.173020151144805422e-04,-2.379745252326227639e-05,1.554112557168192135e-04
1.980202744480940029e-04,-3.828470890322365687e-04,-3.437611108409731092e-04
-3.696001595762910766e-04,2.155612982563514114e-04,-5.727207083350482956e-05
6.086586750579325530e-05,-1.677067543233937835e-04,-1.604835814145683472e-04
5.752365531855508805e-04,4.245401895430837001e-04,-1.813109889441261722e-04
-2.885933304295852639e-05,4.265689600339051283e-04,-7.438156005746960329e-05
1.000655938686350390e-04,1.387407146422796691e-04,-2.285373512903175926e-04
2.114969164131127218e-04,-4.667541951686843792e-04,3.662476417869219264e-06
4.911020960137505408e-04,3.990167715466703193e-05,3.763211630098038337e-04
-2.462665884886818608e-04,-8.078214513922610425e-04,1.706731307909174951e-04
-4.408043333295560582e-04,3.278867247995454664e-04,2.073340617061994126e-04
-9.981351920053494289e-05,-1.358577284869417199e-04,3.065483595794179378e-05
-4.886360125297751524e-04,-1.896997407687020900e-04,1.687819182233922413e-04
4.096082962239279814e-04,2.485639066189361058e-04,-2.165018522303414114e-04
-1.155640963673531640e-04,4.338945966856557358e-04,-3.512141536307560749e-06
-1.205256121296764579e-04,8.995364313008438230e-04,-2.935142925817884772e-04
2.599412440511300235e-04,-1.685946978167608017e-04,4.328148554001016291e-05
-4.659251731042960971e-04,-5.674323360431408891e-04,4.729107057830129221e-04
2.549868530164377733e-04,-3.810409831650845121e-05,5.330225791985740511e-04
-3.497153500139992921e-04,-2.510062379059121627e-04,-2.602961548734674876e-04
9.531156048905809136e-04,2.645514722358376417e-04,-2.087747275871091636e-04
2.835725716173344139e-04,-4.053296946571425803e-04,-8.461550110278418126e-06
-1.227349706992728279e-04,1.794181271574027804e-04,5.240461061710098263e-04
2.567411591864401260e-04,1.546994096240309066e-04,1.046962395830542710e-04
1.092367011923733389e-04,-2.002699791008525211e-04,2.519608932934816318e-04
-2.850515521706211623e-04,1.475112676545603714e-04,-3.599079958803405089e-04
4.850358326890762540e-04,1.639193135055384788e-04,3.011256805122279142e-06
2.067740599652768941e-04,-6.934434434072378689e-05,-4.074658026938588937e-04
-7.432005168176702157e-04,1.541715899112459486e-04,-1.994432737796345099e-04
1.551054171896679569e-04,-1.619218855364707680e-04,-4.357688950945571280e-04
1.182930695470298381e-04,5.538540056298430544e-04,7.989666227243287207e-04
4.904817556516907111e-04,-5.914306949854762261e-05,-6.976994894040142517e-05
3.895956439767514945e-04,9.390580720854555994e-05,3.515311744394170458e-04
-7.372630960583581995e-05,-1.355939139168558908e-04,-9.760456003516039980e-05
-5.393037807542583198e-04,3.265717067543659155e-04,-2.029887276127560183e-04
9.308266751705714646e-05,4.858665244984831651e-04,4.412121258933160797e-04
-3.005737675952478314e-04,2.766977732572003059e-04,1.390910050297051819e-04
3.325466165345973728e-06,1.330094202729758309e-04,2.023953691448920520e-04
-7.877333696551142863e-05,9.156894946145956941e-05,-4.166497382499162244e-04
-6.090960918948748584e-05,9.957277584981768809e-04,-2.266328721993395750e-04
5.675291699821684305e-05,4.803380220987457064e-04,1.797736776588768634e-04
-3.965903140512817344e-05,4.086969996483080379e-04,-1.319183408297283655e-04
1.130747568312637382e-04,-1.599879361033671561e-04,3.919249039102853634e-04
-2.592117840516659403e-05,2.240154486475958088e-05,-5.462640481493028768e-04
5.898920973264323370e-05,-3.646057929670373934e-05,4.153617115887241797e-05
4.772918492281929431e-04,-9.992437361375821800e-05,1.713225746073173859e-04
-3.165685342705913999e-04,4.113413241372554250e-05,-2.546957991015876216e-04
-2.608344959814847680e-04,1.016525914278671979e-03,-1.056747403253582867e-04
1.785907559692403686e-04,-2.125928219532816695e-04,1.505784273935360156e-04
